key,enabled,identity,password,username
user-account-company-01,true,"UserIdentity{name: 'Universidad', surname: 'Sevilla', email: 'us@acme.com'}",company1,company1
user-account-company-02,true,"UserIdentity{name: 'Universidad', surname: 'Extremadura', email: 'uex@acme.com'}",company2,company2
user-account-lecturer-01,true,"UserIdentity{name: 'Juan', surname: 'Sanchez', email: 'juansanchez@acme.com'}",lecturer1,lecturer1
user-account-lecturer-02,true,"UserIdentity{name: 'Pepe', surname: 'Dominguez', email: 'pepedominguez@acme.com'}",lecturer2,lecturer2
user-account-lecturer-03,true,"UserIdentity{name: 'Luis', surname: 'Flores', email: 'luisflores@acme.com'}",lecturer3,lecturer3
user-account-lecturer-04,true,"UserIdentity{name: 'Maria', surname: 'Lucero', email: 'marialucero@acme.com'}",lecturer4,lecturer4
user-account-lecturer-05,true,"UserIdentity{name: 'Ana', surname: 'Medina', email: 'anamedina@acme.com'}",lecturer5,lecturer5
user-account-lecturer-06,true,"UserIdentity{name: 'Isa', surname: 'Jimenez', email: 'isajimenez@acme.com'}",lecturer6,lecturer6
user-account-lecturer-07,true,"UserIdentity{name: 'Jose', surname: 'Gomez', email: 'josegomez@acme.com'}",lecturer7,lecturer7
user-account-lecturer-08,true,"UserIdentity{name: 'Alex', surname: 'Pecino', email: 'alexpecino@acme.com'}",lecturer8,lecturer8
user-account-assistant-01,true,"UserIdentity{name: 'Tom', surname: 'Cat', email: 'tom.cat@acme.com'}",assistant1,assistant1
user-account-assistant-02,true,"UserIdentity{name: 'Foo', surname: 'Bar', email: 'foo.bar@acme.com'}",assistant2,assistant2
user-account-auditor-01,false,"UserIdentity{name: 'Auditor', surname: 'Evans', email: 'auditor@acme.com'}",auditor,auditor
